,aud,subject,vis
0,0.144,CC110033,0.168
1,0.128,CC120347,0.136
2,0.128,CC120470,0.256
3,0.128,CC120640,0.2
4,0.136,CC120212,0.112
5,0.08,CC110174,0.2
6,0.072,CC110126,0.24
7,0.104,CC110045,0.16
8,0.136,CC120376,0.144
9,0.128,CC120276,0.2
10,0.12,CC112141,0.128
11,0.384,CC120137,0.24
12,0.024,CC120008,0.12
13,0.12,CC120313,0.128
14,0.128,CC120182,0.136
15,0.144,CC110101,0.136
16,0.12,CC120065,0.128
17,0.136,CC120550,0.184
18,0.104,CC110037,0.144
19,0.12,CC120469,0.128
20,0.128,CC120462,0.112
21,0.112,CC110087,0.144
22,0.128,CC120264,0.128
23,0.128,CC120319,0.12
24,0.128,CC120120,0.136
25,0.144,CC120061,0.168
26,0.128,CC110069,0.16
27,0.104,CC110056,0.152
28,0.216,CC110606,0.136
29,0.136,CC110187,0.136
30,0.128,CC120184,0.128
31,0.144,CC120049,0.144
32,0.12,CC120218,0.136
33,0.128,CC110319,0.152
34,0.184,CC120409,0.144
35,0.128,CC110182,0.136
36,0.232,CC110411,0.136
37,0.128,CC110098,0.192
38,0.136,CC120166,0.136
39,0.136,CC120727,0.152
40,0.232,CC120309,0.144
41,0.144,CC120764,0.128
42,0.184,CC120795,0.144
43,0.072,CC121111,0.144
44,0.136,CC121158,0.144
45,0.136,CC121317,0.144
46,0.216,CC121428,0.144
47,0.128,CC121106,0.128
48,0.136,CC121397,0.136
49,0.144,CC121144,0.144
50,0.128,CC121411,0.176
51,0.128,CC122172,0.16
52,0.136,CC210148,0.128
53,0.136,CC210250,0.136
54,0.144,CC121685,0.144
55,0.128,CC210182,0.136
56,0.136,CC122620,0.16
57,0.184,CC121479,0.152
58,0.136,CC122016,0.184
59,0.136,CC220151,0.184
60,0.128,CC210314,0.24
61,0.136,CC220203,0.176
62,0.104,CC210051,0.144
63,0.12,CC121795,0.24
64,0.136,CC210023,0.16
65,0.136,CC122405,0.144
66,0.12,CC210174,0.144
67,0.12,CC210526,0.12
68,0.136,CC220223,0.128
69,0.104,CC210088,0.152
70,0.136,CC220234,0.144
71,0.128,CC220232,0.16
72,0.136,CC210124,0.136
73,0.128,CC210422,0.136
74,0.144,CC220372,0.128
75,0.128,CC210172,0.16
76,0.136,CC220323,0.16
77,0.136,CC220335,0.152
78,0.144,CC212153,0.112
79,0.12,CC210519,0.16
80,0.144,CC210657,0.144
81,0.136,CC210617,0.144
82,0.12,CC220284,0.136
83,0.12,CC220107,0.128
84,0.12,CC220115,0.152
85,0.136,CC220132,0.152
86,0.128,CC220098,0.28
87,0.12,CC220198,0.16
88,0.128,CC220511,0.128
89,0.144,CC220518,0.152
90,0.128,CC220535,0.136
91,0.128,CC220519,0.12
92,0.12,CC220713,0.144
93,0.136,CC220352,0.256
94,0.128,CC221040,0.168
95,0.136,CC220419,0.128
96,0.12,CC221352,0.136
97,0.136,CC220974,0.176
98,0.136,CC221031,0.248
99,-0.12,CC220506,0.144
100,0.128,CC221373,0.16
101,0.128,CC221336,0.16
102,0.12,CC221755,0.168
103,0.136,CC221648,0.144
104,0.128,CC221740,0.184
105,0.216,CC221775,0.136
106,0.128,CC220610,0.136
107,0.12,CC220567,0.128
108,0.128,CC221828,0.208
109,0.128,CC220635,0.144
110,0.136,CC220697,0.152
111,0.136,CC220901,0.144
112,0.144,CC220828,0.152
113,0.136,CC221733,0.312
114,0.128,CC220526,0.12
115,0.128,CC220920,0.144
116,0.128,CC221324,0.144
117,0.128,CC220843,0.168
118,0.136,CC221054,0.16
119,0.128,CC221002,0.136
120,0.152,CC220999,0.184
121,0.144,CC221886,0.152
122,0.128,CC221220,0.136
123,0.232,CC221244,0.152
124,0.136,CC221033,0.144
125,0.128,CC221487,0.136
126,0.136,CC221935,0.144
127,0.128,CC222120,0.12
128,0.128,CC221511,0.168
129,0.128,CC222125,0.168
130,0.136,CC221585,0.128
131,0.12,CC221527,0.24
132,0.128,CC221565,0.152
133,0.152,CC221737,0.104
134,0.128,CC221595,0.176
135,0.144,CC222304,0.16
136,0.136,CC221977,0.152
137,0.128,CC222326,0.136
138,0.136,CC222367,0.128
139,0.128,CC222258,0.168
140,0.128,CC222496,0.136
141,0.136,CC222264,0.192
142,0.128,CC310051,0.176
143,0.144,CC222555,0.208
144,0.128,CC221980,0.256
145,0.128,CC222956,0.136
146,0.136,CC221954,0.152
147,0.136,CC310361,0.248
148,0.12,CC222652,0.136
149,0.128,CC310385,0.144
150,0.12,CC310397,0.136
151,0.128,CC222185,0.136
152,0.128,CC310473,0.144
153,0.128,CC320022,0.136
154,0.136,CC320002,0.152
155,0.104,CC310008,0.136
156,0.128,CC312058,0.144
157,0.128,CC222797,0.144
158,0.128,CC312222,0.128
159,0.128,CC310450,0.136
160,0.144,CC312149,0.152
161,0.128,CC320089,0.144
162,0.104,CC310086,0.144
163,0.136,CC223286,0.152
164,0.12,CC310129,0.24
165,0.136,CC320059,0.16
166,0.136,CC223115,0.176
167,0.144,CC223085,0.176
168,0.144,CC310142,0.232
169,0.128,CC310135,0.152
170,0.128,CC310052,0.168
171,0.12,CC310160,0.2
172,0.136,CC320088,0.272
173,0.136,CC310203,0.136
174,0.136,CC310224,0.144
175,0.144,CC310214,0.136
176,0.136,CC310331,0.264
177,0.096,CC310252,0.144
178,0.128,CC310256,0.136
179,0.136,CC320202,0.16
180,0.128,CC320206,0.128
181,0.128,CC310410,0.12
182,0.128,CC310414,0.136
183,0.136,CC310391,0.232
184,0.136,CC310400,0.152
185,0.12,CC320218,0.112
186,0.136,CC320267,0.136
187,0.168,CC320325,0.16
188,0.128,CC310463,0.176
189,0.128,CC320321,0.224
190,0.128,CC320336,0.152
191,0.144,CC320359,0.136
192,0.144,CC320429,0.16
193,0.128,CC320428,0.184
194,0.12,CC320107,0.144
195,0.128,CC320417,0.128
196,0.136,CC320478,0.16
197,0.136,CC320160,0.24
198,0.128,CC320608,0.288
199,0.128,CC320109,0.136
200,0.136,CC320687,0.168
201,0.128,CC320680,0.144
202,0.136,CC320297,0.168
203,0.128,CC320850,0.152
204,0.12,CC320342,0.136
205,0.128,CC320621,0.136
206,0.56,CC320870,0.136
207,0.128,CC320361,0.168
208,0.128,CC320893,0.152
209,0.136,CC320448,0.184
210,0.136,CC320379,0.152
211,0.144,CC320445,0.136
212,0.12,CC320576,0.136
213,0.144,CC321000,0.232
214,0.144,CC320904,0.144
215,0.12,CC320461,0.136
216,0.128,CC320574,0.176
217,0.12,CC320553,0.12
218,0.12,CC321025,0.16
219,0.12,CC320500,0.152
220,0.128,CC320636,0.128
221,0.128,CC320616,0.144
222,0.216,CC320651,0.152
223,0.12,CC320575,0.144
224,0.12,CC320568,0.136
225,0.136,CC321073,0.168
226,0.128,CC321087,0.144
227,0.128,CC321053,0.136
228,0.128,CC320759,0.136
229,0.136,CC320686,0.16
230,0.128,CC320776,0.152
231,0.144,CC320861,0.144
232,0.128,CC320661,0.152
233,0.12,CC320814,0.184
234,0.128,CC320698,0.16
235,0.128,CC321174,0.2
236,0.128,CC321203,0.152
237,0.12,CC320888,0.144
238,0.128,CC321137,0.144
239,0.128,CC321291,0.128
240,0.128,CC321368,0.152
241,0.136,CC321107,0.224
242,0.12,CC321069,0.184
243,0.224,CC321464,0.136
244,0.136,CC321428,0.152
245,0.12,CC321585,0.136
246,0.128,CC321557,0.256
247,0.128,CC321281,0.144
248,0.136,CC321595,0.16
249,0.104,CC410091,0.24
250,0.128,CC321154,0.184
251,0.112,CC410040,0.152
252,0.128,CC410086,0.2
253,0.128,CC321331,0.2
254,0.136,CC410173,0.2
255,0.128,CC410177,0.128
256,0.128,CC321594,0.2
257,0.128,CC321431,0.144
258,0.128,CC321504,0.136
259,0.128,CC321506,0.152
260,0.104,CC410222,0.144
261,0.128,CC321544,0.144
262,0.136,CC321880,0.2
263,0.104,CC410015,0.136
264,0.128,CC321899,0.144
265,0.128,CC410220,0.136
266,0.128,CC322186,0.168
267,0.104,CC410032,0.192
268,0.192,CC321529,0.152
269,0.128,CC410084,0.128
270,0.128,CC410248,0.216
271,0.136,CC410251,0.128
272,0.128,CC410094,0.192
273,0.12,CC410286,0.144
274,0.112,CC410101,0.152
275,0.128,CC410097,0.136
276,0.256,CC410289,0.144
277,0.136,CC410297,0.232
278,0.096,CC410354,0.144
279,0.104,CC410129,0.2
280,0.128,CC410121,0.152
281,0.104,CC410169,0.176
282,0.128,CC410113,0.144
283,0.136,CC410325,0.144
284,0.128,CC410387,0.144
285,0.12,CC321976,0.144
286,0.12,CC410179,0.144
287,0.136,CC410432,0.2
288,0.128,CC410243,0.152
289,0.136,CC412004,0.144
290,0.128,CC410226,0.152
291,0.128,CC420071,0.184
292,0.128,CC410284,0.152
293,0.128,CC420100,0.152
294,0.136,CC410390,0.144
295,0.128,CC410182,0.16
296,0.088,CC410287,0.144
297,0.128,CC420162,0.144
298,0.096,CC410323,0.128
299,0.128,CC420173,0.152
300,0.128,CC420094,0.208
301,0.12,CC420197,0.216
302,0.136,CC420198,0.144
303,0.128,CC420202,0.192
304,0.128,CC412021,0.144
305,0.128,CC420004,0.176
306,0.12,CC420167,0.112
307,0.128,CC420231,0.144
308,0.144,CC420143,0.136
309,0.144,CC420061,0.168
310,0.12,CC420060,0.176
311,0.136,CC420157,0.144
312,0.128,CC420075,0.136
313,0.136,CC420089,0.144
314,0.08,CC420229,0.152
315,0.136,CC420149,0.136
316,0.136,CC420091,0.144
317,0.136,CC420148,0.16
318,0.128,CC420137,0.152
319,0.128,CC420261,0.152
320,0.128,CC420244,0.152
321,0.12,CC420322,0.136
322,0.128,CC420348,0.16
323,0.128,CC420356,0.168
324,0.128,CC420182,0.144
325,0.12,CC420204,0.144
326,0.128,CC420392,0.144
327,0.152,CC420217,0.144
328,0.12,CC420180,0.16
329,0.12,CC420222,0.152
330,0.136,CC420412,0.176
331,0.12,CC420433,0.144
332,0.12,CC420226,0.152
333,0.144,CC420454,0.152
334,0.128,CC420435,0.256
335,0.136,CC420493,0.24
336,0.144,CC420236,0.168
337,0.128,CC420241,0.176
338,0.12,CC420260,0.128
339,0.144,CC420286,0.144
340,0.128,CC420566,0.144
341,0.136,CC420402,0.152
342,0.088,CC510086,0.192
343,0.104,CC510115,0.16
344,0.112,CC510076,0.192
345,0.128,CC420324,0.152
346,0.112,CC420383,0.144
347,0.128,CC420364,0.16
348,0.088,CC510163,0.2
349,0.112,CC510161,0.192
350,0.136,CC420396,0.248
351,0.104,CC510259,0.152
352,0.216,CC510256,0.176
353,0.128,CC420464,0.136
354,0.128,CC510255,0.152
355,0.128,CC420462,0.144
356,0.136,CC420582,0.136
357,0.144,CC510304,0.2
358,0.12,CC420623,0.216
359,0.112,CC510284,0.184
360,0.12,CC420776,0.144
361,0.128,CC420587,0.264
362,0.128,CC420729,0.152
363,0.088,CC510354,0.136
364,0.136,CC510043,0.168
365,0.112,CC510039,0.152
366,0.128,CC420720,0.256
367,0.128,CC420589,0.144
368,0.112,CC510050,0.2
369,0.144,CC510392,0.152
370,0.128,CC510393,0.2
371,0.144,CC510395,0.224
372,0.128,CC510208,0.152
373,0.112,CC510220,0.152
374,0.104,CC510237,0.2
375,0.136,CC510342,0.192
376,0.136,CC510473,0.144
377,0.128,CC510243,0.152
378,0.136,CC510486,0.16
379,0.112,CC510242,0.16
380,0.144,CC510480,0.16
381,0.12,CC510258,0.16
382,0.136,CC510483,0.12
383,0.136,CC510548,0.152
384,0.136,CC510329,0.144
385,0.112,CC510323,0.168
386,0.136,CC510321,0.152
387,0.144,CC510438,0.216
388,0.136,CC510551,0.152
389,0.128,CC510433,0.128
390,0.144,CC510629,0.176
391,0.136,CC512003,0.144
392,0.136,CC510355,0.152
393,0.224,CC510415,0.144
394,0.12,CC510434,0.144
395,0.128,CC510474,0.2
396,0.136,CC520042,0.136
397,0.136,CC520013,0.144
398,0.128,CC520122,0.16
399,0.144,CC520127,0.168
400,0.128,CC520200,0.144
401,0.128,CC520175,0.128
402,0.12,CC510609,0.144
403,0.128,CC510534,0.144
404,0.136,CC520239,0.184
405,0.08,CC510639,0.152
406,0.12,CC520211,0.152
407,0.136,CC520247,0.144
408,0.12,CC520055,0.152
409,0.12,CC520147,0.168
410,0.128,CC520053,0.176
411,0.144,CC520011,0.144
412,0.136,CC510648,0.136
413,0.152,CC520002,0.2
414,0.136,CC520078,0.168
415,0.136,CC520097,0.168
416,0.128,CC520395,0.144
417,0.144,CC520065,0.208
418,0.128,CC520377,0.144
419,0.128,CC520254,0.448
420,0.128,CC520391,0.184
421,0.136,CC520083,0.152
422,0.144,CC520134,0.168
423,0.136,CC520480,0.136
424,0.112,CC520136,0.16
425,0.128,CC520287,0.168
426,0.128,CC520197,0.2
427,0.136,CC520552,0.152
428,0.144,CC520209,0.152
429,0.136,CC520560,0.256
430,0.128,CC520215,0.136
431,0.128,CC520517,0.144
432,0.128,CC520253,0.16
433,0.128,CC520607,0.144
434,0.128,CC520584,0.152
435,0.136,CC520745,0.152
436,0.144,CC520775,0.152
437,0.144,CC520279,0.168
438,0.12,CC520390,0.152
439,0.136,CC520424,0.168
440,0.12,CC610046,0.16
441,0.136,CC610051,0.144
442,0.144,CC520503,0.184
443,0.136,CC520398,0.264
444,0.136,CC520436,0.152
445,0.128,CC520477,0.152
446,0.136,CC610052,0.168
447,0.104,CC610058,0.128
448,0.12,CC520562,0.152
449,0.152,CC610101,0.136
450,0.152,CC610076,0.152
451,0.248,CC610178,0.248
452,0.128,CC610212,0.168
453,0.144,CC520585,0.176
454,0.144,CC520673,0.136
455,0.128,CC520624,0.168
456,0.128,CC520980,0.152
457,0.128,CC610292,0.176
458,0.112,CC610028,0.216
459,0.096,CC610039,0.216
460,0.096,CC610022,0.136
461,0.136,CC520868,0.176
462,0.096,CC610344,0.168
463,0.128,CC521040,0.16
464,0.144,CC610372,0.144
465,0.12,CC610308,0.12
466,0.12,CC610040,0.184
467,0.088,CC610469,0.128
468,0.112,CC610061,0.224
469,0.104,CC610050,0.176
470,0.216,CC610099,0.176
471,0.136,CC610508,0.168
472,0.128,CC610594,0.176
473,0.136,CC610071,0.16
474,0.096,CC610631,0.136
475,0.128,CC610210,0.12
476,0.136,CC610658,0.152
477,0.152,CC610496,0.288
478,0.112,CC610146,0.168
479,0.128,CC610671,0.152
480,0.144,CC620005,0.152
481,0.16,CC610227,0.152
482,0.128,CC610568,0.168
483,0.088,CC610285,0.16
484,0.128,CC610625,0.192
485,0.128,CC610288,0.16
486,0.136,CC620114,0.168
487,0.144,CC610405,0.144
488,0.136,CC620259,0.152
489,0.144,CC610392,0.12
490,0.144,CC620164,0.112
491,0.088,CC610575,0.152
492,0.144,CC610576,0.16
493,0.136,CC620262,0.144
494,0.136,CC620279,0.16
495,0.136,CC610653,0.216
496,0.128,CC620090,0.16
497,0.136,CC620406,0.144
498,0.128,CC620026,0.192
499,0.152,CC620444,0.16
500,0.12,CC620073,0.16
501,0.136,CC620496,0.136
502,0.136,CC620479,0.152
503,0.136,CC620085,0.168
504,0.136,CC620466,0.248
505,0.136,CC620106,0.144
506,0.136,CC620413,0.256
507,0.144,CC620118,0.208
508,0.128,CC620429,0.144
509,0.12,CC620152,0.184
510,0.12,CC620129,0.16
511,0.128,CC620515,0.144
512,0.136,CC620264,0.144
513,0.128,CC620121,0.2
514,0.136,CC620193,0.184
515,0.104,CC620354,0.152
516,0.136,CC620526,0.152
517,0.12,CC620284,0.144
518,0.128,CC620359,0.152
519,0.12,CC620557,0.168
520,0.128,CC620314,0.152
521,0.136,CC620619,0.2
522,0.128,CC620436,0.2
523,0.088,CC620454,0.168
524,0.12,CC620451,0.192
525,0.12,CC620405,0.16
526,0.136,CC620785,0.176
527,0.128,CC620659,0.16
528,0.12,CC620572,0.152
529,0.144,CC620499,0.144
530,0.168,CC620793,0.152
531,0.136,CC620518,0.152
532,0.136,CC620885,0.176
533,0.144,CC621011,0.224
534,0.136,CC621199,0.248
535,0.144,CC620527,0.168
536,0.144,CC620935,0.192
537,0.128,CC620490,0.16
538,0.128,CC621184,0.168
539,0.128,CC620610,0.16
540,0.128,CC621284,0.256
541,0.136,CC620567,0.192
542,0.128,CC620592,0.152
543,0.088,CC710223,0.232
544,0.144,CC710350,0.144
545,0.072,CC710088,0.2
546,0.128,CC620720,0.152
547,0.12,CC710382,0.216
548,0.136,CC621080,0.184
549,0.136,CC710548,0.16
550,0.128,CC620821,0.16
551,0.128,CC620919,0.216
552,0.136,CC710858,0.144
553,0.136,CC710591,0.216
554,0.128,CC621128,0.152
555,0.136,CC621642,0.16
556,0.104,CC710037,0.144
557,0.096,CC621248,0.184
558,0.136,CC711158,0.16
559,0.12,CC710313,0.184
560,0.152,CC710131,0.2
561,0.136,CC711035,0.16
562,0.104,CC710342,0.184
563,0.112,CC710214,0.192
564,0.136,CC711027,0.216
565,0.128,CC710176,0.16
566,0.136,CC712027,0.216
567,0.12,CC710486,0.144
568,0.128,CC711244,0.16
569,0.072,CC710462,0.192
570,0.136,CC710446,0.208
571,0.144,CC720188,0.144
572,0.136,CC710664,0.168
573,0.128,CC710679,0.176
574,0.144,CC720238,0.192
575,0.144,CC720071,0.152
576,0.144,CC720290,0.16
577,0.144,CC710982,0.16
578,0.16,CC711128,0.152
579,0.128,CC720304,0.16
580,0.144,CC720407,0.152
581,0.128,CC720358,0.2
582,0.088,CC720023,0.144
583,0.128,CC720622,0.144
584,0.136,CC711245,0.16
585,0.128,CC720646,0.184
586,0.144,CC720119,0.224
587,0.136,CC720941,0.168
588,0.128,CC721107,0.168
589,0.136,CC720329,0.152
590,0.136,CC721374,0.168
591,0.136,CC721291,0.176
592,0.128,CC720400,0.256
593,0.128,CC720670,0.144
594,0.12,CC721392,0.168
595,0.144,CC721648,0.12
596,0.128,CC721504,0.208
597,0.088,CC720497,0.152
598,0.128,CC720511,0.152
599,0.152,CC721585,0.16
600,0.128,CC720685,0.144
601,0.12,CC720516,0.232
602,0.144,CC721891,0.152
603,0.144,CC721224,0.168
604,0.128,CC721894,0.168
605,0.128,CC720723,0.152
606,0.152,CC720774,0.2
607,0.152,CC720986,0.16
608,0.136,CC721114,0.272
609,0.152,CC721888,0.16
610,0.136,CC721052,0.168
611,0.136,CC722536,0.136
612,0.16,CC721434,0.152
613,0.128,CC721449,0.168
614,0.136,CC721292,0.224
615,0.128,CC721418,0.136
616,0.136,CC721519,0.16
617,0.128,CC721532,0.232
618,0.128,CC721377,0.192
619,0.136,CC721707,0.16
620,0.128,CC723395,0.16
621,0.096,CC722421,0.152
622,0.112,CC722651,0.16
623,0.128,CC722891,0.16
624,0.128,CC722077,0.144
625,0.152,CC722542,0.264
626,0.12,CC410119,0.16
627,0.136,CC510226,0.136
628,0.12,CC520168,0.16
629,0.136,CC520597,0.152
630,0.12,CC710429,0.192
631,0.136,CC710494,0.16
632,0.128,CC721704,0.16
